name,finalWorth,category,country,city,source,industries,selfMade,gender,birthDate
Arnault;Bernard,211000,Fashion & Retail,France,Paris,LVMH,Fashion & Retail,False,M,1949-03-05 00:00:00
Musk;Elon,180000,Automotive,United States,Austin,"Tesla, SpaceX",Automotive,True,M,1971-06-28 00:00:00
Bezos;Jeff,114000,Technology,United States,Medina,Amazon,Technology,True,M,1964-01-12 00:00:00
Ellison;Larry,107000,Technology,United States,Lanai,Oracle,Technology,True,M,1944-08-17 00:00:00
Buffett;Warren,106000,Finance & Investments,United States,Omaha,Berkshire Hathaway,Finance & Investments,True,M,1930-08-30 00:00:00
Gates;Bill,104000,Technology,United States,Medina,Microsoft,Technology,True,M,1955-10-28 00:00:00
Bloomberg;Michael,94500,Media & Entertainment,United States,New York,Bloomberg LP,Media & Entertainment,True,M,1942-02-14 00:00:00
Slim Helu;Carlos,93000,Telecom,Mexico,Mexico City,Telecom,Telecom,True,M,1940-01-28 00:00:00
Ambani;Mukesh,83400,Diversified,India,Mumbai,Diversified,Diversified,False,M,1957-04-19 00:00:00
Ballmer;Steve,80700,Technology,United States,Hunts Point,Microsoft,Technology,True,M,1956-03-24 00:00:00
Bettencourt Meyers;Francoise,80500,Fashion & Retail,France,Paris,L'Oréal,Fashion & Retail,False,F,1953-07-10 00:00:00
Page;Larry,79200,Technology,United States,Palo Alto,Google,Technology,True,M,1973-03-26 00:00:00
Ortega;Amancio,77300,Fashion & Retail,Spain,La Coruna,Zara,Fashion & Retail,True,M,1936-03-28 00:00:00
Brin;Sergey,76000,Technology,United States,Los Altos,Google,Technology,True,M,1973-08-21 00:00:00
Zhong;Shanshan,68000,Food & Beverage,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,True,M,1954-12-01 00:00:00
Zuckerberg;Mark,64400,Technology,United States,Palo Alto,Facebook,Technology,True,M,1984-05-14 00:00:00
Koch;Charles,59000,Diversified,United States,Wichita,Koch Industries,Diversified,False,M,1935-11-01 00:00:00
Koch;Julia,59000,Diversified,United States,New York,Koch Industries,Diversified,False,F,1962-04-12 00:00:00
Walton;Jim,58800,Fashion & Retail,United States,Bentonville,Walmart,Fashion & Retail,False,M,1948-06-07 00:00:00
Walton;Rob,57600,Fashion & Retail,United States,Bentonville,Walmart,Fashion & Retail,False,M,1944-10-27 00:00:00
Walton;Alice,56700,Fashion & Retail,United States,Fort Worth,Walmart,Fashion & Retail,False,F,1949-10-07 00:00:00
Thomson;David,54400,Media & Entertainment,Canada,Toronto,Media,Media & Entertainment,False,M,1957-06-12 00:00:00
Dell;Michael,50100,Technology,United States,Austin,Dell Technologies,Technology,True,M,1965-02-23 00:00:00
Adani;Gautam,47200,Diversified,India,Ahmedabad,"Infrastructure, commodities",Diversified,True,M,1962-06-24 00:00:00
Knight;Phil,45100,Fashion & Retail,United States,Hillsboro,Nike,Fashion & Retail,True,M,1938-02-24 00:00:00
Zhang;Yiming,45000,Technology,China,Beijing,TikTok,Technology,True,M,1984-01-01 00:00:00
Schwarz;Dieter,42900,Fashion & Retail,Germany,Neckarsulm,Retail,Fashion & Retail,False,M,1939-09-24 00:00:00
Pinault;FranÃ§ois,40100,Fashion & Retail,France,Paris,Luxury goods,Fashion & Retail,True,M,1936-08-21 00:00:00
Kuehne;Klaus-Michael,39100,Logistics,Switzerland,Schindellegi,Shipping,Logistics,False,M,1937-06-02 00:00:00
Ferrero;Giovanni,38900,Food & Beverage,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,False,M,1964-09-21 00:00:00
Mars;Jacqueline,38300,Food & Beverage,United States,The Plains,"Candy, pet food",Food & Beverage,False,F,1939-10-10 00:00:00
Mars;John,38300,Food & Beverage,United States,Jackson,"Candy, pet food",Food & Beverage,False,M,1935-10-15 00:00:00
Ma;Huateng,35300,Technology,China,Shenzhen,Internet media,Technology,True,M,1971-10-29 00:00:00
Adelson;Miriam,35000,Gambling & Casinos,United States,Las Vegas,Casinos,Gambling & Casinos,False,F,1945-10-10 00:00:00
Griffin;Ken,35000,Finance & Investments,United States,Miami,Hedge funds,Finance & Investments,True,M,1968-10-15 00:00:00
Mateschitz;Mark,34700,Food & Beverage,Austria,Salzburg,Red Bull,Food & Beverage,False,M,1992-05-07 00:00:00
Zeng;Robin,33400,Automotive,China,Ningde,Batteries,Automotive,True,M,1969-01-01 00:00:00
Yanai;Tadashi,32600,Fashion & Retail,Japan,Tokyo,Fashion retail,Fashion & Retail,True,M,1949-02-07 00:00:00
Blavatnik;Len,32100,Diversified,United Kingdom,London,"Music, chemicals",Diversified,True,M,1957-06-01 00:00:00
Wertheimer;Alain,31600,Fashion & Retail,United States,New York,Chanel,Fashion & Retail,False,M,1948-08-28 00:00:00
Wertheimer;Gerard,31600,Fashion & Retail,United States,New York,Chanel,Fashion & Retail,False,M,1951-01-09 00:00:00
Aponte;Gianluigi,31200,Logistics,Switzerland,Geneva,Shipping,Logistics,True,M,1940-06-27 00:00:00
Aponte-Diamant;Rafaela,31200,Logistics,Switzerland,Geneva,Shipping,Logistics,True,F,1945-03-26 00:00:00
Huang;Colin Zheng,30200,Technology,China,Shanghai,E-commerce,Technology,True,M,1980-02-02 00:00:00
Wuerth;Reinhold,29700,Manufacturing,Germany,Kuenzelsau,Fasteners,Manufacturing,True,M,1935-04-20 00:00:00
Yass;Jeff,28500,Finance & Investments,United States,Haverford,"Trading, investments",Finance & Investments,True,M,1958-07-17 00:00:00
Simons;Jim,28100,Finance & Investments,United States,East Setauket,Hedge funds,Finance & Investments,True,M,1938-04-25 00:00:00
Schwarzman;Stephen,27800,Finance & Investments,United States,New York,Investments,Finance & Investments,True,M,1947-02-14 00:00:00
Klatten;Susanne,27400,Automotive,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,False,F,1962-04-28 00:00:00
Rinehart;Gina,27000,Metals & Mining,Australia,Perth,Mining,Metals & Mining,False,F,1954-02-09 00:00:00
Ding;William,26700,Technology,China,Hangzhou,Online games,Technology,True,M,1971-10-01 00:00:00
Larrea Mota Velasco;Germain,26600,Metals & Mining,Mexico,Mexico City,Mining,Metals & Mining,False,M,1953-10-26 00:00:00
Nadar;Shiv,25600,Technology,India,Delhi,software services,Technology,True,M,1945-07-18 00:00:00
Low Tuck;Kwong,25500,Energy,Indonesia,Jakarta,Coal,Energy,True,M,1948-04-17 00:00:00
Peterffy;Thomas,25300,Finance & Investments,United States,Palm Beach,Discount brokerage,Finance & Investments,True,M,1944-09-30 00:00:00
Melnichenko;Andrey,25200,Metals & Mining,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,True,M,1972-03-08 00:00:00
Quandt;Stefan,24600,Automotive,Germany,Frankfurt,BMW,Automotive,False,M,1966-05-09 00:00:00
Scott;MacKenzie,24400,Technology,United States,Seattle,Amazon,Technology,False,F,1970-04-07 00:00:00
Hartono;R. Budi,24200,Finance & Investments,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,False,M,1941-01-01 00:00:00
Potanin;Vladimir,23700,Metals & Mining,Russia,Moscow,Metals,Metals & Mining,True,M,1961-01-03 00:00:00
Ma;Jack,23500,Technology,China,Hangzhou,E-commerce,Technology,True,M,1964-09-10 00:00:00
He;Xiangjian,23400,Manufacturing,China,Foshan,Home appliances,Manufacturing,True,M,1942-08-11 00:00:00
Fontbona;Iris,23100,Metals & Mining,Chile,Santiago,Mining,Metals & Mining,False,F,1943-01-01 00:00:00
Hartono;Michael,23100,Manufacturing,Indonesia,Kudus,"Banking, tobacco",Manufacturing,False,M,1939-10-02 00:00:00
Ratcliffe;James,22900,Manufacturing,United Kingdom,London,Chemicals,Manufacturing,True,M,1953-01-01 00:00:00
Poonawalla;Cyrus,22600,Healthcare,India,Pune,Vaccines,Healthcare,False,M,1941-05-11 00:00:00
Son;Masayoshi,22400,Telecom,Japan,Tokyo,"Internet, telecom",Telecom,True,M,1957-08-11 00:00:00
Lisin;Vladimir,22100,Metals & Mining,Russia,Moscow,"Steel, transport",Metals & Mining,True,M,1956-05-07 00:00:00
Besnier;Emmanuel,22000,Food & Beverage,France,Laval,Cheese,Food & Beverage,False,M,1970-09-18 00:00:00
Johnson;Abigail,21600,Finance & Investments,United States,Milton,Fidelity,Finance & Investments,False,F,1961-12-19 00:00:00
Mikhelson;Leonid,21600,Energy,Russia,Moscow,"Gas, chemicals",Energy,True,M,1955-08-11 00:00:00
Walton;Lukas,21200,Fashion & Retail,United States,Chicago,Walmart,Fashion & Retail,False,M,1986-09-19 00:00:00
Wang;Wei,21200,Service,China,Shenzhen,Package delivery,Service,True,M,1970-10-01 00:00:00
Huang;Jensen,21100,Technology,United States,Los Altos,Semiconductors,Technology,True,M,1963-02-17 00:00:00
Lauder;Leonard,21000,Fashion & Retail,United States,New York,Estee Lauder,Fashion & Retail,False,M,1933-03-19 00:00:00
Takizaki;Takemitsu,21000,Manufacturing,Japan,Osaka,Sensors,Manufacturing,True,M,1945-06-10 00:00:00
Mordashov;Alexey,20900,Metals & Mining,Russia,Moscow,"Steel, investments",Metals & Mining,True,M,1965-09-26 00:00:00
Alekperov;Vagit,20500,Energy,Russia,Moscow,Oil,Energy,True,M,1950-09-01 00:00:00
Frist;Thomas,20200,Healthcare,United States,Nashville,Hospitals,Healthcare,True,M,1938-08-12 00:00:00
Forrest;Andrew,19600,Metals & Mining,Australia,Perth,Mining,Metals & Mining,True,M,1961-11-18 00:00:00
Dalio;Ray,19100,Finance & Investments,United States,Greenwich,Hedge funds,Finance & Investments,True,M,1949-08-08 00:00:00
Li;Eric,19000,Automotive,China,Hangzhou,Automobiles,Automotive,True,M,1963-06-01 00:00:00
Wang;Wenyin,19000,Metals & Mining,China,Shenzhen,"Mining, copper products",Metals & Mining,True,M,1968-03-01 00:00:00
Qin;Yinglin,18900,Food & Beverage,China,Nanyang,Pig breeding,Food & Beverage,True,M,1965-04-17 00:00:00
Wang;Chuanfu,18700,Automotive,China,Shenzhen,"Batteries, automobiles",Automotive,True,M,1966-02-15 00:00:00
Hamm;Harold,18500,Energy,United States,Oklahoma City,Oil & gas,Energy,True,M,1945-12-11 00:00:00
Tepper;David,18500,Finance & Investments,United States,Palm Beach,Hedge funds,Finance & Investments,True,M,1957-09-11 00:00:00
Timchenko;Gennady,18500,Energy,Russia,Moscow,"Oil, gas",Energy,True,M,1952-11-09 00:00:00
Gilbert;Daniel,18000,Finance & Investments,United States,Franklin,Quicken Loans,Finance & Investments,True,M,1962-01-17 00:00:00
Mittal;Lakshmi,17700,Metals & Mining,United Kingdom,London,Steel,Metals & Mining,False,M,1950-06-15 00:00:00
Cohen;Steve,17500,Finance & Investments,United States,Greenwich,Hedge funds,Finance & Investments,True,M,1956-06-11 00:00:00
Icahn;Carl,17500,Finance & Investments,United States,Indian Creek,Investments,Finance & Investments,True,M,1936-02-16 00:00:00
Jindal;Savitri,17500,Metals & Mining,India,Hisar,Steel,Metals & Mining,False,F,1950-03-20 00:00:00
Bren;Donald,17400,Real Estate,United States,Newport Beach,Real estate,Real Estate,True,M,1932-05-11 00:00:00
Menard;John,17400,Fashion & Retail,United States,Eau Claire,Home improvement stores,Fashion & Retail,True,M,1940-01-22 00:00:00
Murdoch;Rupert,17100,Media & Entertainment,United States,New York,"Newspapers, TV network",Media & Entertainment,False,M,1931-03-11 00:00:00
Safra;Vicky,16700,Finance & Investments,Switzerland,Crans-Montana,Banking,Finance & Investments,False,F,1953-01-01 00:00:00
Albrecht;Theo,16500,Fashion & Retail,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,False,M,1951-01-01 00:00:00
Kellnerova;Renata,16500,Finance & Investments,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,False,F,1967-07-04 00:00:00
Li;Xiting,16300,Healthcare,China,Shenzhen,medical devices,Healthcare,True,M,1951-01-01 00:00:00
Persson;Stefan,16200,Fashion & Retail,Sweden,Stockholm,H&M,Fashion & Retail,False,M,1947-10-04 00:00:00
Schmidt;Eric,16200,Technology,United States,Atherton,Google,Technology,True,M,1955-04-27 00:00:00
Platt;Michael,16000,Finance & Investments,Switzerland,Geneva,Hedge funds,Finance & Investments,True,M,1968-03-18 00:00:00
Pang;Kang,15900,Food & Beverage,China,Foshan,Soy sauce,Food & Beverage,True,M,1956-01-19 00:00:00
Lemann;Jorge Paulo,15800,Food & Beverage,Switzerland,Zurich,Beer,Food & Beverage,True,M,1939-08-26 00:00:00
Shanghvi;Dilip,15600,Healthcare,India,Mumbai,Pharmaceuticals,Healthcare,True,M,1955-10-01 00:00:00
Pera;Robert,15500,Technology,United States,San Jose,Wireless networking,Technology,True,M,1978-03-10 00:00:00
Damani;Radhakishan,15300,Fashion & Retail,India,Mumbai,"Retail, investments",Fashion & Retail,True,M,1955-01-01 00:00:00
Huang;Shilin,15200,Automotive,China,Ningde,Batteries,Automotive,True,M,1967-01-01 00:00:00
Chearavanont;Dhanin,14900,Diversified,Thailand,Bangkok,Diversified,Diversified,False,M,1939-04-19 00:00:00
Green;David,14900,Fashion & Retail,United States,Oklahoma City,Retail,Fashion & Retail,True,M,1941-11-13 00:00:00
Sirivadhanabhakdi;Charoen,14800,Food & Beverage,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,True,M,1944-05-02 00:00:00
de Carvalho-Heineken;Charlene,14700,Food & Beverage,United Kingdom,London,Heineken,Food & Beverage,False,F,1954-06-30 00:00:00
Xu;Hang,14600,Healthcare,China,Shenzhen,Medical devices,Healthcare,True,M,1962-05-22 00:00:00
Wei;Jianjun,14500,Automotive,China,Baoding,Automobiles,Automotive,True,M,1964-03-01 00:00:00
Goh;Cheng Liang,14300,Manufacturing,Singapore,Singapore,Paints,Manufacturing,True,M,1927-06-27 00:00:00
Birla;Kumar,14200,Diversified,India,Mumbai,Commodities,Diversified,False,M,1967-06-14 00:00:00
Dangote;Aliko,14200,Manufacturing,Nigeria,Lagos,"Cement, sugar",Manufacturing,True,M,1957-04-10 00:00:00
Ofer;Idan,14000,Diversified,United Kingdom,London,Shipping,Diversified,False,M,1955-10-02 00:00:00
Chen;Bang,13900,Healthcare,China,Changsha,Hospitals,Healthcare,True,M,1965-09-01 00:00:00
Fredriksen;John,13700,Logistics,United Kingdom,London,Shipping,Logistics,True,M,1945-02-01 00:00:00
Hendricks;Diane,13700,Construction & Engineering,United States,Afton,Building supplies,Construction & Engineering,True,F,1947-03-02 00:00:00
Koum;Jan,13700,Technology,United States,Atherton,WhatsApp,Technology,True,M,1976-02-24 00:00:00
Jones;Jerry,13300,Sports,United States,Dallas,Dallas Cowboys,Sports,True,M,1942-10-13 00:00:00
Kaiser;George,13300,Energy,United States,Tulsa,"Oil & gas, banking",Energy,False,M,1942-07-29 00:00:00
Lu;Xiangyang,13200,Automotive,China,Guangzhou,"Automobiles, batteries",Automotive,True,M,1962-12-28 00:00:00
Triguboff;Harry,13100,Real Estate,Australia,Sydney,Real estate,Real Estate,True,M,1933-03-03 00:00:00
Kotak;Uday,12900,Finance & Investments,India,Mumbai,Banking,Finance & Investments,True,M,1959-03-15 00:00:00
Kroenke;Stanley,12900,Sports,United States,Electra,"Sports, real estate",Sports,True,M,1947-07-29 00:00:00
Fridman;Mikhail,12600,Energy,United Kingdom,London,"Oil, banking, telecom",Energy,True,M,1964-04-21 00:00:00
Ratanavadi;Sarath,12300,Energy,Thailand,Bangkok,Energy,Energy,True,M,1965-07-12 00:00:00
Dang;Yanbao,12200,Metals & Mining,China,Yinchuan,Coal,Metals & Mining,True,M,1973-02-01 00:00:00
Jiang;Rensheng,12200,Healthcare,China,Chongqing,Vaccines,Healthcare,True,M,1953-10-08 00:00:00
Khan;Shahid,12100,Automotive,United States,Naples,Auto parts,Automotive,True,M,1950-07-18 00:00:00
Powell Jobs;Laurene,12000,Technology,United States,Palo Alto,"Apple, Disney",Technology,False,F,1963-11-06 00:00:00
Ross;Stephen,11600,Real Estate,United States,New York,Real estate,Real Estate,True,M,1940-05-10 00:00:00
Durov;Pavel,11500,Technology,United Arab Emirates,Dubai,Messaging app,Technology,True,M,1984-10-10 00:00:00
Struengmann;Andreas,11500,Healthcare,Germany,Tegernsee,Pharmaceuticals,Healthcare,True,M,1950-02-16 00:00:00
Struengmann;Thomas,11500,Healthcare,Germany,Tegernsee,Pharmaceuticals,Healthcare,True,M,1950-02-16 00:00:00
Liu;Hanyuan,11400,Food & Beverage,China,Chengdu,Agribusiness,Food & Beverage,True,M,1964-01-01 00:00:00
Rubin;Michael,11400,Fashion & Retail,United States,Bryn Mawr,Online retail,Fashion & Retail,True,M,1972-07-21 00:00:00
Englander;Israel,11300,Finance & Investments,United States,New York,Hedge funds,Finance & Investments,True,M,1948-09-30 00:00:00
Kantor;Viatcheslav,11300,Manufacturing,Israel,Herzliya,"Fertilizer, real estate",Manufacturing,True,M,1953-09-08 00:00:00
Pratt;Anthony,11300,Manufacturing,Australia,Melbourne,Manufacturing,Manufacturing,False,M,1960-04-11 00:00:00
Prokhorov;Mikhail,11300,Finance & Investments,Switzerland,Frauenfeld,Investments,Finance & Investments,True,M,1965-05-03 00:00:00
Armani;Giorgio,11100,Fashion & Retail,Italy,Milan,Luxury goods,Fashion & Retail,True,M,1934-07-11 00:00:00
Rupert;Johann,11100,Fashion & Retail,South Africa,Cape Town,Luxury goods,Fashion & Retail,False,M,1950-06-01 00:00:00
Zhang;Zhidong,11000,Technology,China,Shenzhen,Internet media,Technology,True,M,1972-01-01 00:00:00
Anschutz;Philip,10900,Finance & Investments,United States,Denver,"Energy, sports, entertainment",Finance & Investments,False,M,1939-12-28 00:00:00
Love;Judy,10900,Fashion & Retail,United States,Oklahoma City,Gas stations,Fashion & Retail,True,F,1937-06-17 00:00:00
Salinas Pliego;Ricardo,10900,Fashion & Retail,Mexico,Mexico City,"Retail, media",Fashion & Retail,False,M,1955-10-19 00:00:00
Newhouse;Donald,10700,Media & Entertainment,United States,New York,Media,Media & Entertainment,False,M,2029-08-05 00:00:00
Kraft;Robert,10600,Sports,United States,Brookline,"Manufacturing, New England Patriots",Sports,True,M,1941-06-05 00:00:00
Telles;Marcel Herrmann,10600,Food & Beverage,Brazil,Sao Paulo,Beer,Food & Beverage,True,M,1950-01-01 00:00:00
Kerimov & family;Suleiman,10500,Finance & Investments,Russia,Moscow,Gold,Finance & Investments,True,M,1966-03-12 00:00:00
Xu;Sky,10500,Fashion & Retail,China,Guangzhou,E-commerce,Fashion & Retail,True,M,1984-01-01 00:00:00
Zhao;Changpeng,10500,Finance & Investments,United Arab Emirates,Dubai,Cryptocurrency exchange,Finance & Investments,True,M,1977-09-10 00:00:00
Beal;Andrew,10300,Finance & Investments,United States,Dallas,"Banks, real estate",Finance & Investments,True,M,1952-11-29 00:00:00
